project,path,groundtruth,root-cause-name,root-cause-id,note
keccak256-circom-af3e898,squeeze_test.circom,,,,Classified as safe in ZKAP (USENIX '24).
keccak256-circom-af3e898,theta_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. zkap appears to mishandle cases where array substitution is conditioned on the index.
keccak256-circom-af3e898,iota3_test.circom,,,,Classified as safe in ZKAP (USENIX '24).
keccak256-circom-af3e898,iota10_test.circom,,,,Classified as safe in ZKAP (USENIX '24).
maci-9b1b1a6-fixed,batchUpdateStateTree_32.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,batchUpdateStateTree_32_batch16.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,batchUpdateStateTree_32_batch256.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,batchUpdateStateTree_large.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,batchUpdateStateTree_medium.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,batchUpdateStateTree_small.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,batchUpdateStateTree_test.circom,unsafe,BatchUpdateStateTree,[22],
maci-9b1b1a6-fixed,calculateTotal_test.circom,,,,"The sum might overflow, but that would be a logic error and falls outside the scope of this dataset."
maci-9b1b1a6-fixed,decrypt_test.circom,,,,Classified as safe in ZKAP (USENIX '24).
maci-9b1b1a6-fixed,ecdh_test.circom,unsafe,MontgomeryDouble,[7],
maci-9b1b1a6-fixed,hasher11_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. Poseidon is certified as safe in ZKAP (USENIX'24).
maci-9b1b1a6-fixed,hasher5_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. Poseidon is certified as safe in ZKAP (USENIX'24).
maci-9b1b1a6-fixed,hashleftright_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. Poseidon is certified as safe in ZKAP (USENIX'24).
maci-9b1b1a6-fixed,merkleTreeCheckRoot_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. Poseidon is certified as safe in ZKAP (USENIX'24).
maci-9b1b1a6-fixed,merkleTreeInclusionProof_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. Poseidon is certified as safe in ZKAP (USENIX'24).
maci-9b1b1a6-fixed,merkleTreeLeafExists_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection. Poseidon is certified as safe in ZKAP (USENIX'24).
maci-9b1b1a6-fixed,performChecksBeforeUpdate_test.circom,unsafe,QuinSelector,[23],
maci-9b1b1a6-fixed,publicKey_test.circom,unsafe,MontgomeryDouble,[7],
maci-9b1b1a6-fixed,quadVoteTally_32.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quadVoteTally_32_batch16.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quadVoteTally_32_batch256.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quadVoteTally_large.circom,,,,Classified as safe in ZKAP (USENIX '24).
maci-9b1b1a6-fixed,quadVoteTally_medium.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quadVoteTally_small.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quadVoteTally_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quinGeneratePathIndices_test.circom,unsafe,QuinGeneratePathIndices,[24],
maci-9b1b1a6-fixed,quinSelector_test.circom,unsafe,QuinSelector,[23],
maci-9b1b1a6-fixed,quinTreeCheckRoot_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,quinTreeInclusionProof_test.circom,unsafe,QuinSelector,[23],
maci-9b1b1a6-fixed,quinTreeLeafExists_test.circom,unsafe,QuinSelector,[23],
maci-9b1b1a6-fixed,resultCommitmentVerifier_test.circom,,,,Highly convincing in terms of safety. No potential issues were identified during human inspection.
maci-9b1b1a6-fixed,splicer_test.circom,unsafe,QuinSelector,[23],
maci-9b1b1a6-fixed,updateStateTree_test.circom,unsafe,UpdateStateTree,[25],
maci-9b1b1a6-fixed,verifySignature_test.circom,unsafe,MontgomeryDouble,[7],
semaphore-0f0fc95,semaphore.circom,,,,Classified as safe in ZKAP (USENIX '24).
semaphore-0f0fc95,tree.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-SQL-4c3626d,delete.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-SQL-4c3626d,hashTable.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-SQL-4c3626d,insert.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-SQL-4c3626d,select.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-SQL-4c3626d,update.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-SQL-4c3626d,utils.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-group-sigs-1337689-fixed,deny.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-group-sigs-1337689-fixed,reveal.circom,,,,Classified as safe in ZKAP (USENIX '24).
zk-group-sigs-1337689-fixed,sign.circom,,,,Classified as safe in ZKAP (USENIX '24).
circom-ecdsa-d87eb70,SSZRestoreMerkleRoot@telepathy@depth=2@index=2.circom,safe,,,"Although ZKAP (usenix'24) flags this circuit vulnerable, not using the variable does not mean that the circuit is under-/over-constrained. The issue (https://github.com/0xPARC/circom-ecdsa/issues/29) has been not addressed by the developer, also suggesting that this circuit is likely to be safe"
internal,DivModN@veridise@n=13.circom,unsafe,DivMod,[27],
internal,Reward@veridise.circom,safe,,,This circuit is not over-constrained with the default setting of Circom compile.
internal,ArrayXOR@telepathy@n=4.circom,unsafe,ArrayXOR,[28],
internal,Rotate@telepathy.circom,unsafe,,,
internal,SSZLayer@telepathy@numBytes=2.circom,unsafe,SSZLayer,[29],
internal,SSZLayer@telepathy@numBytes=64.circom,safe,,,
internal,SSZRestoreMerkleRoot@telepathy@depth=2@index=2.circom,safe,,,"Although ZKAP (USENIX '24) flags this circuit as vulnerable due to the unused intermediate signal `values`, it is neither under-constrained nor over-constrained by our definition, as other parts of the circuit still depend on `values`."
iden3-core-56a08f9,stateTransitionTest.circom,unsafe,Montgomery2Edwards,[14],
darkforest-eth-9033eaf-fixed,CalculateTotal.circom,safe,,,
darkforest-eth-9033eaf-fixed,QuinSelector.circom,unsafe,QuinSelector,[23],
circom-pairing-743d761,CoreVerifyPubkeyG1@circom-pairing@n=55@k=7.circom,safe,,,
circom-pairing-743d761,LongToShortNoEndCarry@circom-pairing@n=32@k=3.circom,safe,,,
